Initial,ID,Group(1=Strong 2=Weak),Idea number(BallPen),Idea number(Socks),Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,BallPen_Head_sd,BallPen_Head_mean,BallPen_Head_var,BallPen_Chest_sd,BallPen_Chest_mean,BallPen_Chest_var,BallPen_Arm_sd,BallPen_Arm_mean,BallPen_Arm_var,Socks_Head_sd,Socks_Head_mean,Socks_Head_var,Socks_Chest_sd,Socks_Chest_mean,Socks_Chest_var,Socks_Arm_sd,Socks_Arm_mean,Socks_Arm_var
A.K,2,Strong,4,6,1,4,2,5,3,5,4,1,3,1,,,0.137432222,0.091233489,0.018887616,235.1974469,50.8250486,55317.83904,207.6280045,83.04906045,43109.38826,0.11628331,0.071919861,0.013521808,234.6428033,46.61282858,55057.24516,180.4239896,60.83043317,32552.81601
E.S,3,Strong,3,4,7,3,4,5,5,5,5,3,6,3,,,0.144742048,0.057007859,0.02095026,368.2418669,79.51115431,135602.0725,222.64191,75.72702027,49569.42011,0.151762731,0.064768518,0.023031927,470.9445978,115.4139591,221788.8142,267.6296685,89.78691104,71625.63946
N.Z,4,Strong,1,3,5,6,1,3,1,3,2,1,6,2,7,2,0.090990028,0.032218978,0.008279185,356.382547,70.04553869,127008.5198,293.8887847,122.5958904,86370.61776,0.090415448,0.030699244,0.008174953,284.9093274,67.28751273,81173.32485,247.6194943,119.7939461,61315.41393
S.K,5,Strong,2,4,7,7,6,4,5,3,1,4,7,5,6,3,0.081763955,0.03648512,0.006685344,55.16785652,28.62378348,3043.492393,163.9379647,103.3607378,26875.65629,0.059205707,0.030805004,0.003505316,86.17168245,24.53846154,7425.558857,123.4642396,60.80857169,15243.41845
W.K,6,Strong,5,6,6,5,1,6,5,7,5,2,6,2,6,5,0.07333123,0.038372118,0.005377469,155.8339659,24.11384672,24284.22493,198.6468571,85.04183636,39460.57383,0.053999284,0.026140191,0.002915923,130.0547918,24.13866519,16914.24887,124.0162353,54.87253541,15380.02661
K.A,8,Weak,3,3,6,7,1,7,6,3,4,2,5,3,,,0.110945526,0.053176441,0.01230891,161.9960066,26.86588867,26242.70617,146.9036317,72.00963231,21580.67701,0.082830101,0.030842216,0.006860826,216.3623168,14.52917747,46812.65214,133.4420607,53.9535013,17806.78357
S.A,9,Weak,4,5,7,7,1,5,7,2,5,1,7,1,,,0.117791615,0.084503919,0.013874865,811.6380522,406.259472,658756.3278,502.4206597,252.93849,252426.5193,0.132167125,0.087709363,0.017468149,576.9429614,274.3616745,332863.1807,365.4198116,164.924053,133531.6387
H.M,10,Weak,3,4,7,5,1,3,6,4,1,3,7,3,,,0.062458381,0.026968528,0.003901049,84.8322178,15.06641349,7196.505177,218.9331575,99.09290478,47931.72745,0.052969429,0.031866617,0.00280576,28.53138985,11.68636532,814.0402069,172.958128,78.09466469,29914.51406
M.K,11,Weak,3,6,7,5,1,3,4,7,5,2,6,2,7,5,0.10940946,0.051194324,0.01197043,152.3598244,38.756206,23213.5161,253.8193419,90.54964802,64424.2583,0.061326443,0.026550769,0.003760933,155.1979032,37.56937755,24086.38917,181.6116438,65.50185254,32982.78916
S.S,12,Weak,4,5,7,2,1,2,4,3,6,3,4,2,4,1,0.113576205,0.045851578,0.012899554,149.8016346,30.30261208,22440.52972,133.9684242,50.55844757,17947.53869,0.127906495,0.055458158,0.016360071,218.4211254,51.36537927,47707.78803,130.1064762,52.50615912,16927.69515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
